2026/03/06 13:39:24 [DESKTOP-JFVG6LS/WkYXzEyZw5-000001] "GET http://localhost:8080/healthz HTTP/1.1" from [::1]:51165 - 200 1B in 0s
2026/03/06 19:59:21 [DESKTOP-JFVG6LS/WkYXzEyZw5-000149] "GET http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:59553 - 200 23B in 0s
2026/03/06 19:59:21 [DESKTOP-JFVG6LS/WkYXzEyZw5-000150] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:59544 - 200 150B in 1.0033ms
2026/03/06 19:59:21 [DESKTOP-JFVG6LS/WkYXzEyZw5-000151] "GET http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:59554 - 200 23B in 0s
2026/03/06 19:59:53 [DESKTOP-JFVG6LS/WkYXzEyZw5-000152] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:59554 - 200 1262B in 0s
2026/03/06 19:59:53 [DESKTOP-JFVG6LS/WkYXzEyZw5-000153] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:59544 - 200 1262B in 108.6µs
2026/03/06 20:05:43 [DESKTOP-JFVG6LS/WkYXzEyZw5-000154] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:59691 - 200 150B in 0s
2026/03/06 20:05:43 [DESKTOP-JFVG6LS/WkYXzEyZw5-000155] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:59691 - 200 150B in 0s
2026/03/06 20:05:43 [DESKTOP-JFVG6LS/WkYXzEyZw5-000156] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:59692 - 204 0B in 0s
2026/03/06 20:05:43 [DESKTOP-JFVG6LS/WkYXzEyZw5-000157] "OPTIONS http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:59693 - 204 0B in 0s
2026/03/06 20:05:43 [DESKTOP-JFVG6LS/WkYXzEyZw5-000158] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:59694 - 204 0B in 127.9µs
2026/03/06 20:05:43 [DESKTOP-JFVG6LS/WkYXzEyZw5-000159] "OPTIONS http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:59695 - 204 0B in 0s
2026/03/06 20:05:43 [DESKTOP-JFVG6LS/WkYXzEyZw5-000160] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:59695 - 200 150B in 0s
2026/03/06 20:05:43 [DESKTOP-JFVG6LS/WkYXzEyZw5-000161] "GET http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:59694 - 200 23B in 0s
2026/03/06 20:05:43 [DESKTOP-JFVG6LS/WkYXzEyZw5-000162] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:59693 - 200 150B in 0s
2026/03/06 20:05:43 [DESKTOP-JFVG6LS/WkYXzEyZw5-000163] "GET http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:59695 - 200 23B in 169.3µs
2026/03/06 20:05:59 [DESKTOP-JFVG6LS/WkYXzEyZw5-000164] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:59695 - 200 1262B in 0s
2026/03/06 20:05:59 [DESKTOP-JFVG6LS/WkYXzEyZw5-000165] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:59695 - 200 1262B in 0s
2026/03/06 20:06:01 [DESKTOP-JFVG6LS/WkYXzEyZw5-000166] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:59697 - 200 150B in 530µs
2026/03/06 20:06:01 [DESKTOP-JFVG6LS/WkYXzEyZw5-000167] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:59695 - 200 1262B in 0s
2026/03/06 20:06:01 [DESKTOP-JFVG6LS/WkYXzEyZw5-000168] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:59693 - 200 1262B in 78.2µs
2026/03/06 20:06:09 [DESKTOP-JFVG6LS/WkYXzEyZw5-000169] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:59693 - 200 1262B in 0s
2026/03/06 20:06:09 [DESKTOP-JFVG6LS/WkYXzEyZw5-000170] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:59693 - 200 1262B in 0s
2026/03/06 20:17:39 [DESKTOP-JFVG6LS/WkYXzEyZw5-000171] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:59812 - 200 150B in 0s
2026/03/06 20:17:39 [DESKTOP-JFVG6LS/WkYXzEyZw5-000172] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:59813 - 200 1262B in 0s
2026/03/06 20:17:39 [DESKTOP-JFVG6LS/WkYXzEyZw5-000173] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:59814 - 200 1262B in 0s
2026/03/06 20:19:14 [DESKTOP-JFVG6LS/WkYXzEyZw5-000174] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:59827 - 200 150B in 0s
2026/03/06 20:19:14 [DESKTOP-JFVG6LS/WkYXzEyZw5-000175] "GET http://localhost:8080/v1/marketplace/servers/postgresql-assistant HTTP/1.1" from [::1]:59814 - 200 754B in 15.9µs
2026/03/06 20:19:14 [DESKTOP-JFVG6LS/WkYXzEyZw5-000176] "GET http://localhost:8080/v1/marketplace/servers/postgresql-assistant HTTP/1.1" from [::1]:59813 - 200 754B in 0s
